N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
,,1,1,0.92136,,0.8977246928082557,0.9067418119948958,0.9018835282324972,0.9043061450140559
,,2,1,0.91896,,0.8957215451821138,0.9001488728200767,0.9090045040920334,0.9045550147256165
,,3,1,0.8976,,0.8772677629690618,0.8722883879200336,0.9150794979682934,0.8931717151276021
,,1,2,0.9312,,0.908971324179104,0.9174819225861331,0.9184960401026921,0.9148035577873112
,,2,2,0.93864,,0.9241972152919673,0.9288600595491282,0.9310391094418303,0.9290525094711913
,,3,2,0.93952,,0.9255243624327633,0.9282220331773713,0.9374664592892284,0.9311149884691274
,,1,2,0.93752,,0.9210299179566237,0.9259889408762231,0.934125466700899,0.9264351543675836
,,2,2,0.95104,,0.9429569665384445,0.9422586133560183,0.9574944085901976,0.9477074233664307
,,3,2,0.95408,,0.951153014955713,0.9565078689919181,0.9601942287501839,0.9514045106003521
